Movie Name,Storyline
The Kingdom,The story is set in the Kingdom of Kalayaan in the contemporary era in an alternate version of the Philippines where the islands were never colonized.
The Lost Holliday,"When Cassandra Marshall learns that her estranged son Damien Holliday has died, she heads to L.A. to handle his arrangements. She arrives to find that they're being handled by her sons husband, Jason Holliday, who she knows nothing about."
Concerto for Abigail,A pianist confronts progressive hearing loss as she falls for someone new. She must decide whether to shut herself off or let her love in and face the challenge together
Rats!,"In Fresno, Texas, graffiti artist Raphael's arrest leads to his involvement in a chain of events involving a sting operation, suicide, drug deals, criminal suspicions, weapons, a newswoman, and a plutonium deal gone wrong, creating chaos."
The Honest Candidate,"A former idealist leader turned corrupt politician is cursed by his grandmother on the eve of the presidential elections, forcing him to be honest."
Nothing to Lose,A young man has a gambling problem that can get him into a lot of trouble
Solvent,"While hunting Nazi papers in Austria, researchers find a dark secret beneath a farmhouse. As expat Gunner Holbrook pursues the mystery, his grip on reality slips. He battles an evil force, racing to save himself."
A Halloween Feast,"Former ballerina Angela descends into madness as her family tries to cope. After an infamous dinner, their lives spiral into unexpected chaos. All skeletons come out at a Halloween party."
Finding Faith,"Victoria, a Christian advice columnist writing under the name Faith, begins to lose her faith after a series of life events. On her journey back to God, she also finds her way back to love."
Prepare to Die,A young man trains in the ways of martial arts to seek vengeance on the corrupt landowner who murdered his family.
Paradise,"When corrupt officials cover up the murder of Ella's father, she cuts a swath through the anachronistic underbelly of her small island town."
Kifn,"Teenage Peri's arranged marriage faces troubles. To resolve issues, she revisits family archives from when relatives recorded memories in 2000s Sulaimani after her mother's early death."
Patna Shukla,"Tanvi Shukla, a lawyer in Patna's lower court, who is living her childhood dream of becoming a lawyer."
Lobola Man,"Ace Ngubeni, a slick lobola negotiator, faces his toughest deal yet for a shy client - only to find the stakes are higher than cash."
Succede anche nelle migliori famiglie,"Follows the Di Rienzo family. Seemingly perfect, the Di Rienzo family is destabilized by the sudden death of the father of the family, an exemplary man, an established professional and a point of reference for everyone."
Last Breath,Doctor Augustin Masset engages renowned writer Fabrice Toussaint in a philosophical dialogue exploring life and death. A series of profound encounters guides Toussaint to confront his fears and anxieties.
Lesson Learned,"Young teacher Juci rebels against archaic school methods as Palkó, a new foreign student, struggles to adapt to Hungary's demanding education system. Their stories mirror societal oppression."
Road Trip,Five friends go on a roadtrip to visit the wake of a friend.
Dr. Jason II: Lights & Shadows,A satanic alliance tries to pave the way for the birth of the Antichrist.
A World Apart,"Michele relocates from capital to remote village Rupe in Abruzzo park. Challenges emerge as she aims to keep local school with few students open, set against idyllic winter and summer backdrops."
The Last Journey,"Renowned Swedish TV-duo Filip and Fredrik embark on a trip to France, aiming to rekindle the zest for life of Filip's father"
Stranger Eyes,"A man obsessively searches for his missing daughter after receiving disturbing videos exposing his secrets, leading to a chilling confrontation with the voyeur."
Diving Into the Darkness,"Diving Into The Darkness is a jaw-dropping yet intimate portrait of cave diving icon Jill Heinerth, and the nail-biting challenges and risks she's faced to go where no man or woman has gone before."
Hot Spot,It features three stories that are humorously evocative and a fourth one that's deeply disturbing.
Sous écrous,
Sensei's Pious Lie,"Turn a blind eye or lie to avoid getting hurt. If you don't do that, you won't be able to live..."
Over the Red River,"Follows a tenacious young widow who braves the perilous desert to free her kidnapped sister and wreak vengeance on the outlaws who murdered her husband, while also crossing paths with an ex-member of the same gang that ruined her life."
Home Sweet Loan,"Kaluna, the youngest child living at home with her extended family, dreams of having her own home. However, family problems come and hinder Kaluna's plans and force her to choose between her family and her dreams."
Something to Stand for with Mike Rowe,"Join America's favorite storyteller on an epic journey to the heart of Washington DC. This cinematic tour de force will take viewers to the frontlines of the American Revolution, World War II, the Civil Rights movement, and more."
Saala,"It is a action-packed drama that explores the themes of power struggles, prestige, and social activism. The setting of the famous Parvathi Bar in Royapuram, which was shut down for 20 years due to gang wars."
U.S. Palmese,"In a desperate attempt to rebuild his reputation, a disgraced French soccer star reluctantly accepts a contract with an amateur team in Southern Italy"
Dirty Boy,"Raised in an oppressive cult, a reclusive schizophrenic discovers that he's being framed by cult leaders for a series of ritualistic murders and must prove his innocence by saving their next victim and destroying the evil sect."
In the Realm of Ripley,"In 2080, researchers commercialise the 'Mind Upload' memory system. Detective Park (Jang Hyuk) uses the system to investigate an unsolved murder case, delving into the memories of a brain-dead boy from 2009 who was the sole witness."
My First Film,"Follow a young filmmaker, as she recounts the story of struggling to make her first feature. Fact bleeding into fiction, and past, present, and future converging to create a modern myth that redefines the very act of creation."
Coffintooth,A madman known as Coffintooth stalks victims on Halloween Eve.
Crossword,"Following the death of their daughter, Tessa focuses on her acclaimed children's book series, ""Lily Learns,"" while her husband, James, attempts to find solace in the daily crossword, but quickly unravels as it takes on a mind of its own."
Voyeur,"Ethan wrestles with the decision to stay in his volatile hometown or leave it all behind while dealing with a family who hates him, a sexuality that confuses him and a past that haunts him."
The Strange Dark,"With her family's safety on the line, Susan must choose who to trust: her husband, who claims he can see the future, or the mysterious strangers at her door."
Now or Never!,"On March 15, 1848, a young firebrand poet, Sándor Petöfi ignites the Hungarian Revolution with his passionate 'National Song', prompting the Austrians to dispatch a ruthless secret agent to assassinate him and suppress the uprising."
All the Lost Ones,"In a dystopian and climate-ravaged future America torn apart by civil war, a group hiding in a remote cabin become the target of a ruthless rebel militia leader and his platoon, viciously hunted in a fight for survival."
Trifole,"In this bittersweet portrait of a vanishing rural way of life, Dalia travels to Piedmont to care for her aging grandfather Igor, an expert forager. Armed with his loyal dog Birba, she hunts for a prizewinning truffle to save his home."
Happy Holidays,"In this panoramic family drama by Oscar-nominated Palestinian director Scandar Copti, personal quests, poor choices, and social pressures test cherished relationships, both well-worn and blooming."
Getting Lost,"A documentary revisiting the global television phenomenon Lost. Featuring interviews with the cast and crew, as well as members of the loyal fan base who still celebrate the show twenty years after it originally aired."
Swargam,"In the bustling city, two families live parallel lives, separated by wealth and social status. As the two families navigate their lives, they face challenges and triumphs."
The Occult,"When a young man falls for a seductive but mentally unstable fortune-teller, he begins to suspect her family is hiding a diabolical secret."
A Heart for Christmas,"A young girl's Christmas wish comes true when the mom she never knew comes home for the holidays, but the family reunion gets complicated now that her father's heart belongs to someone else."
The Long Game,"Ambitious young actress Holly Sloan agrees to help her boyfriend Richard Metzger scam Hollywood legend Mariah McKay, but the two women strike up an unlikely friendship instead. Soon Holly must decide where her true loyalties lie."
Kolpaçino: 4 4'lük,"Hoping to put an end to their feud, Özgür and Sabri decide to meet at a venue to settle scores. Tayfun, eager to organize one last gambling trip before their engagement, invites ÖZgür to accompany him on this special night."
Reputation,A drug dealer begins to question his life choices when his violent partner-in-crime is released from prison.
Super Vixens 8,3 tales of sexy super heroines taking on evil.
A Toast to Love,"A marine archaeologist works on a shipwreck, uncovers a romantic tale behind a wine discovery, and sparks a romance with a Spanish winemaker."
Jung Kook: I Am Still,"Jung Kook invites viewers on a journey showcasing his rise to stardom, creative process, work ethic, and challenges as a global icon, with unseen footage, interviews, and electrifying performances."
The Crossroads,"Ex-cowboy war vet with PTSD meets hitchhiking singer/songwriter with trust issues. He shows her simpler life, they bond over inner demons. Develop relationship after finding commonalities in each other's struggles."
Boléro,"In 1928 Paris, choreographer Ida Rubinstein commissions Maurice Ravel to compose the music for her next ballet. Facing a crisis of inspiration, the composer revisits his life and dedicates himself to create a universal masterpiece, Bolero."
Eat the Night,"Young drug dealer Pablo and his sister Appoline bond over an online game called Darknoon. Pablo falls for Night, neglecting his sister. While Appoline finishes the game, Pablo and Night become embroiled in a dangerous gang conflict."
Decibel,"When a struggling singer-songwriter gets the opportunity of a lifetime to work with a tech-obsessed music producer, her art and life are put in peril as she is forced to help create the perfect AI music algorithm."
Who's Watching,"In a quiet coastal town, Annabelle Pyke lives her life unaware of the dark presence looming over her. Unbeknownst to her, a shadowy has been watching her every move. His obsession with her grows more dangerous by the day."
No Pressure,"After being tricked into dropping everything to save her grandmother's farm, big-city chef Oliwia falls for a handsome farmer who's hiding a secret."
Frankenstein: Legacy,"England, 1875. A century after Victor Frankenstein's doomed experiment, his journals have traded hands for decades."
And Their Children After Them,"In eastern France, two teenage cousins have the summer of their lives when they paddle a purloined canoe to the far shore of a lake."
Gaganachari,"A dystopian comedy that takes place in the 2040's, where an apartment inhabited by three problematic bachelors soon becomes a haven for an extra-terrestrial female fugitive."
Snow White and the Seven Samurai,"Left for dead by her rich and powerful stepmother, Snow White is taken in by a team of assassins - The Seven Samurai, who train her in their ways of fighting."
Bangkok Breaking: Heaven and Hell,"When a dedicated rescue worker inadvertently gets caught up in the kidnapping plot of a mogul's tween daughter, he must save her from the clutches of rival gangs hunting them down with unpredictable dangers around every corner."
The House on Laura Anne Dr.,A young couple move to Florida for a fresh start only to realize their new home has something sinister lurking.
Vindicating Trump,"Dinesh D'Souza examines the challenges faced by Donald Trump, including political opposition, legal battles, and assassination attempts, during his bid to return to the presidency."
Warchief,"A group of guardians are tasked with protecting a messenger who must deliver vital information to their king. On their journey through an ancient land, they face a battle filled with plagues, dark magic and vile monsters."
Art of Eight Limbs,A US agent goes undercover at a martial arts training camp which is suspected of being a cover for chemical weapons.
Becoming Madonna,"Madonna's rise to fame from 1978 to 1992, exploring her personal life, controversies, and the challenges she faced during that period."
Main Atal Hoon,"Follows the extraordinary life and political journey of Shri Atal Bihari Vajpayee, an iconic figure in Indian politics and delves into the multifaceted persona of Vajpayee Ji, capturing his essence as a poet, a gentleman, and a statesman."
Into the Unknown,
Kill Victoria,A twisted fantasy becomes reality as 2 couples plot to kill their best friend's fiancee to save him from making the biggest mistake of his life.
Look Into My Eyes,A documentary through a series of intimate sessions with psychics and their clients.
Ladybug,A young artist is stalked at his remote cabin by a killer who murdered his supernatural guest.
"Ja, Rosinski","Grzegorz Rosinski, one of the world's most famous Polish comic book creators, author of drawings for the 'Thorgal' series, is retiring. But what does it actually mean for an artist to end his career?"
Custom,A couple producing custom erotic films is dragged into a nightmarish conspiracy when they start working for a mysterious client.
Gaami,"Shankar, an amnesiac Aghori who suffers from the fear of touch, goes on a dangerous Himalayan trail in search of a mythical cure for his condition. What happens when his past uncovers the way for him?"
Invader,"A young woman arrives in the Chicago suburbs and begins to suspect that something terrible has happened to her missing cousin, but soon realizes that her greatest fears don't even begin to scratch the surface."
Ni Main Sass Kuttni 2,"A vengeful mother-in-law locks horns with her daughter-in-law in a twisted tale laced with dark comedy, political intrigue, and chilling thrills."
Given 3: To the Sea,"The final installment of the Given series, Given 3 takes place after the events of Hiiragi Mix and focuses on the continuing relationships between the core characters."
"Spider Baby, or The Maddest Story Ever Told",A pair of greedy relatives try to repossess the Merrye Estate. But the inbred Children will protect their home and bloodline at all costs.
All Illusions Must Be Broken,"Through the lens of American cultural anthropologist and Pultizer Prize-winning author Ernest Becker, ALL ILLUSIONS MUST BE BROKEN is a cinematic rumination on human mortality and the lengths to which we go to deny it."
Animale,"Camargue, France - Nejma trains hard to win the local bullfighting competition. When she is mauled after a celebration, she starts to notice disturbing changes. News of a rogue bull on the loose terrifies the community, killing young men."
Altered Reality,"Oliver's life transforms when gifted a not-yet-existing miracle drug. Riches, unscrupulous pacts, and morphing of past and present create this 'Altered Reality, ' a gripping tale of redemption and choices."
The Friendly,"Military medic Curtis gets injured, returns home with dog Friendly who saved him. Curtis and Friendly adjust to civilian life. Curtis falls in love with nurse Sophia, who has a child."
Casatoria,A degenerate gambler and his two idiot friends come up with an elaborate plan to pay down their colossal gambling debts by marrying the dysfunctional daughter of an upstart billionaire.
Hunters on a White Field,"The story is about three friends who spend a long weekend in a remote cabin, intending to hunt deep in the Swedish woods. However, one day all animals vanish without a trace and the forest turns eerily quiet."
Yuva,"At an engineering college, feuds between rival groups intensify, leading to student activities mirroring the brutality of gang warfare."
A Widow Seduced,"A career-driven widow falls for a charming businessman that she meets online, only to discover that her new beau has a deadly secret."
Sthanarthi Sreekuttan,"Sthanarthi Sreekuttan (Candidate Sreekuttan) is a story of four mischievous students in K.R Narayanan U.P school. Story revolved around the conflict between the protagonist Sreekuttan, and Ambadi, who is a bright student in the class."
Litle Loves,"Teresa, 42, changes her vacation plans to spend the summer with her mother, Ani. The forced coexistence of living together after so many years brings tension as well as revealing moments for the two women accustomed to living alone."
Linya,"Gia is a struggling bartender who is also a kept woman of a politician. With a budding romance at work, Gia must fight the urge to see another man before it's too late."
Es por su bien,Three moms go to great lengths to stop their children from ending up with what they believe are the wrong girlfriends for them.
Perdiendo el Juicio,A legal case unites two lawyers between rivalry and romance.
Gladiators,"When a once great gladiator's betrothed is murdered, he vows to hunt down the killer. But when he discovers the murderer is no stranger, the gladiator must enter the Colosseum once more to avenge his bride."
Rest in Peace,"A family man who, cornered by debt, decides to take advantage of a chance and unpredictable circumstance to disappear."
Married,"Two strangers meet through a ride-sharing app and find themselves sharing more than what's expected. Both having problems with their respective marital lives, they find comfort in each other's company."
Grrr...,"A heartbroken and tipsy Rejimon invades a lion's den at the zoo. Forced to act, guard Haridas dives in to rescue him, triggering a hilarious series of blunders."
Skeet,"After being released from prison, Billy Skinner returns to his low-income neighbourhood feeling like the area has changed dramatically, and what was once a predominantly white neighbourhood is now mostly occupied by refugee families."
The Daughter,"At the start of the Russian-Ukrainian war, deaf 17-y.o. Olga stays with her father's new family in Bucha. When Russian troops take over their home, Olga and her family are threatened."
The Box,"CEO Lazer Griffin finds himself trapped in a living nightmare where the only way out of the torture, out of the box, is to accept both his many crimes and his horrific punishment."
Dhakshina,Vizag city is horrified with brutal murders by a serial killer. A police officer arrests a crazy lady who is being spotted preceding at every murder scene. What is the shocking twist that the police officer knows from her investigation?
About Family,Tells the story of a man who's an elite medical student who decided to become a priest.
Miss You,A young man finds himself unexpectedly falling for a woman he initially despised. Their emotional journey explores the depth behind her refusal and the rollercoaster of feelings that unfolds.
Noche De Bodas,"Nico and Lucia are getting married. What could go wrong? Apparently everything, because their exes are there. They will have to face their stormy past in an explosive wedding night."
GTO Revival,"At Aito High School, teacher Onizuka faces issues with ""Sainokawara,"" an influencer exposing secrets. Students suspect a criminal impostor while Vice Principal Fujiyamada and teacher Ayahara handle matters differently."
Death's Sonata,The story of a man suffering from Schizophrenia and the psychotherapist who tries to find him with the help of his young Bi-Polar patient.
A Fisherman's Tale,"Legend says that long ago, nature thrived in harmony around the lake, until evil arrived. Men, blinded by dark desires, brought fear, hate, and death. Fishermen call it La Miringua, the one that drags you in the lake for your sins."
Possessions,"Follows a father who seeks a fresh start with his son after the loss of his wife, and purchased a storage unit facility sight unseen, but secrets buried behind the metal doors become a parent's worst nightmare."
Billy Preston: That's the Way God Planned It,Follows the story and challenging life of legendary musician and genius keyboardist Billy Preston.
The Pleasure Is Mine,What was at first a simple pursuit to regain stolen money becomes the chance for a dysfunctional family to finally reconcile.
ClearMind,A comedic thriller about virtual reality-gone-wrong.
Michael Jackson: Ungloved,"From modest childhood beginnings to international fame, this is the journey of the 'King of Pop,' Michael Jackson's complicated world. Unquestioned talent transcends years of scrutiny over the real superstar wearing the symbolic glove."
Jurnal Risa by Risa Saraswati,Risa is known to have supernatural abilities that enable her to communicate with supernatural beings. This film will present horror events packaged like Paranormal Activity.
Jenni,"Biopic based on the iconic Mexican-American singer-songwriter, actor, producer and women's rights activist, Jenni Rivera."
Hauntology,"An older sister takes her fearless runaway sibling on a road trip, to share the most chilling tales surrounding their hometown."
Malaikottai Vaaliban,"Journey of Malaikottai Vaaliban, an undisputed warrior, transcends time and geographies, triumphing over every opponent he encounters."
Un monde merveilleux,"In a near future, Max and her daughter are selling stolen robots on the black market. When Max loses custody of her daughter following their latest scheme, she must rely on the last robot she took, T-O, who is ready to do anything to help."
The Holiday List,"A woman sets out a well-intentioned plan of bringing her dysfunctional family together in the wake of the family's matriarch, her mother-in-law."
Run Away,
XXX Premis Butaca,
Given the Movie: Hiiragi Mix,Hiiragi Mix takes place after the events of the Eiga Given and is mainly focused on the relationship between Mafuyu's childhood friends Hiiragi Kashima and Shizusumi Yagi.
Somebody,"A swimming instructor and her violent 7-year-old daughter's story intertwines with two characters handling solitary deaths 20 years later, all haunted by a mother's presence in their personal hells."
Major Grom: The Game,"A year has passed since the defeat of the Plague Doctor, and Igor Grom has become a hero for the whole city. But now he is waiting for a fight with a new supervillain."
Diane Warren: Relentless,"The untold story of a legendary songwriter. Featuring Cher, Common, Jennifer Hudson, Gloria Estefan, Kesha, LeAnn Rimes, and more."
Grotesque 2,"Mildred Moyer is at it again, unleashing her unique brand of vengeance on a corrupt religious organization that took advantage of her and others."
Hidden Blessings,"Hidden Blessings is an award-winning feature-length inspirational drama, shot in the innovative and pioneering style of a lighthearted documentary. The story of famed artist Gregory Davidson, played by acclaimed Voice-Actor, James Arnold Taylor (Star Wars: The Clone Wars), is told through the eyes of a skeptic film student, Lydia Drake, as she embarks on an incredible journey of discovering faith, family, and art. Join Lydia and Gregory from the vantage point of a documentarian as they wrestle with life's deepest questions and explore the world of art while experiencing the spectrum of emotions, from joyous laughter to tears of sorrow. Hidden Blessings will captivate audiences of all ages as it brings the parable of the Prodigal Son to life before your very eyes."
Tenant,"Revolving around six characters resembling six faces of a dice chosen by Life in the game of snakes and ladders, this intriguingly designed drive reflects the current urban lifestyle, telling how women should be in our current society."
H. P. Lovecraft's the Old Ones,"Sea captain Russel Marsh was possessed by an ancient entity for 93 years, committing horrific acts for a cult. Now free, he seeks to travel back in time to undo his dark deeds, while the cult vows to eliminate him."
Sins of the Bride,A bride's fling with the best man puts her in danger when her fiancé returns and the secret threatens to destroy their happily-ever-after.
Treasure Trackers,"A trio of misfit middle schoolers band together to investigate their small town's mythic treasure, only to uncover a Halloween curse."
Love Me If You Dare,"A man's romance with an enigmatic woman leads him down a dark path as he faces terrifying events, vanishings, and heartbreak while urgently trying to uncover her true nature in this eerie Telugu fantasy romance."
In Youth We Trust,"Puek, a boy from the slums, had no choice but to endure his circumstances, feeling that he could never have the same worth as others. He remained silent, accepting the bullying of others just to survive in society."
Secret,"Secret promises to be a gripping tale that explores the science of omens (Nimitha Shasthram), psychological turmoil, and the strength of friendships."
We Shall Not Be Moved,"Socorro, obsessed with finding her brother's killer from 1968's Tlatelolco massacre, receives a clue and risks everything, straining family ties, to avenge his death by locating the former soldier."
Phullwanti,"Famous dancer Phullwanti's performance at Peshwa's court faces interruption from scholar Venkat Shastri. Defending her art, she challenges him, igniting a contest between her artistic talent and his intellect."
Dosen Ghaib: It's Nighttime or You Already Know,Four students had to take a short semester while other students were on holiday. At first these students were not suspicious during class.
Sinful Paradise: Welcome to Paradise,"A group of hardworking ladies try to keep things running smoothly at Paradise, one of the hottest, women-owned gentlemen's clubs in Atlanta."
The Star City Murders,A Team of detectives are tracking down a serial killer whose methods are unlike anything law enforcement has ever seen.
Silip,"Paresan-worker Joel notices Rose, the girl always receiving and sleeping with different guys at the house across the food stall. He soon starts to fantasize about Rose and does all he can to get a taste of her."
Oshi no Ko: The Final Act,"Goro is a gynecologist and idol fan who's in shock after his favorite star, Ai, announces an impromptu hiatus. Little does Goro realize that he's about to forge a bond with her that defies all common sense!. Lies are an idol's weapon!."
Ghost Planet,A group of astronauts venture to a mysterious planet to claim the find of the century.
Bring Them Home,Bring Them Home/Aiskótáhkapiyaaya chronicles a decades-long initiative by members of the Blackfoot Confederacy to bring wild buffalo (Blackfeet: iinnii) back to the Blackfeet Reservation.
Money Game,"A young widowed father of two girls, struggles to navigate a broken system, until he discovers the ""Money Game"" from an unorthodox professor."
Desert of Namibia,"21-year-old Satsuki swaps boyfriends frequently, unconcerned with career or societal norms. Her unpredictable behavior leads to a misdiagnosis of bipolar disorder, as she navigates a rigid, patriarchal society."
Anunnakiler,"In Istanbul, the creator of a powerful aphrodisiac and several people mysteriously disappear. The police question Kasim, who mentions an alien named Agulu from the planet Nibiru. Agulu is smuggling Earth's aphrodisiac resources to Nibiru. When Hamdi and his crew reveal this secret, they are eliminated by the Anunnaki."
Navra Maza Navsacha 2,"Shraddha wants her fiancé to fulfill an unusual vow before marriage. Her parents, Bhakti and Vacky, embark on a pilgrimage to seek divine blessings to make it happen."
Can You Hear Me?,A World War 1 Romantic Ghost Story
American Dream: The 21 Savage Story,Follows 21 Savage's journey from UK birth to US upbringing where he conquers adversity like poverty and crime to attain success in rap music.
Friedas Fall,"The murder of a young woman's son sparks a pivotal moment in the fight for women's rights and political equality in early 20th century Switzerland, setting the stage for a historic court case."
Thank You for Banking with Us,"When their father passes away leaving a large sum of money in the bank, two sisters put their differences aside and join forces against Sharia law, according to which their brother has the right to take double what they are entitled to."
Fresh,"The clock is ticking for Kai. His psychotic brother has just been granted an early release from prison and by this afternoon, he'll come around to collect the money Kai has been holding for him. The problem - all the money's been spent."
Schindler Space Architect,"Architect R.M. Schindler's life story (1887-1953) unfolds in parallel with that of Modern Architecture. The film follows his journey from Vienna through Chicago to Southern California, observing where possible through the lens of his own camera or listening to his own words. The story is told through narration, interviews, Schindler's theoretical writings, correspondence, photos, renderings, archival and new footage of many of his buildings."
0000 Kilometre,A phone call to Izmir while she and Ege are living together in France turns their lives upside down. The caller claims to be Izmir's recently deceased mother.
Karma: Death at Latigo Springs,"It follows Charley Stevens as she moves to the town where her recently deceased mother grew up. After arriving, Charley is plagued with strange nightmares that tease a horrific event, hinting at why her mother left town."
The Donkey Kong Country Movie,From the creator of The Yoshi Movie comes an adventure with monkeys and apes. The story of how Donkey Kong met Diddy Kong in an epic adventure to save their island from an evil crocodile named King K. Rool.
Malayalee from India,An unemployed young man named Aalparambil Gopi is compelled to embark on a journey away from his home. This unplanned trip ultimately changes the course of his life in a remarkable way.
Firecracker,"When a heist goes dramatically wrong, leaving a hostage in peril, an unlikely trio find themselves fighting for their lives and their sanity on bonfire night."
Trapped Inn,An American cycling team trains at a remote European lodge. Teammates start dying mysteriously. Rivals Connor and Greg battle to survive and uncover the cause behind the team's demise.
Kulej. Dwie strony medalu,"The story of Jerzy Kulej, a legendary boxing champion, a police officer and two-time Olympic gold medalist, who was never knocked out."
Mother Father Sister Brother Frank,A suburban family plots murder when an uncle crashes Sunday dinner with a nasty surprise.
Mission: Chapter 1,A father takes his daughter to UK for treatment. But he ends up in trouble. What happens next ?
El Roomie,"Struggling writer Vivi takes in mysterious roommate Ro, but soon suspects Ro is hiding a dark secret."
Sathur,"Tamil chases a mysterious childhood memory, unaware of the unfathomable secrets tied to it. His quest will take him to an uncharted island."
The Wild Blade of Strangers,"In a power struggle, the Prince of Qi executes the Crown Prince's heir. Charcoal seller Tian Anye gets entangled, revealing his past and truth about Liang City's deceased residents amid chaos of foes and allies."
The Nexus,"Eight disturbingly twisted tales showcase the depths an insidious corporation will sink to prey on desperate people, conjuring nightmarish manifestations of their primal human desires."
Valensole 1965,"In 1965, farmer Maurice Masse sees a UFO in his field, leaving strange marks. As media and crowds swarm the village, Maurice fights to protect his family. But the event unsettles not just his life, but the peace of the whole community."
Yasam Koçu,"Failing to confess his love and reluctantly accompanying the famous actress Helin as a mandatory friend Cafer who mocked life coaches, energetic individuals, fortune-tellers, suddenly finds himself as the country's most popular life coach."
Last Night at Terrace Lanes,"When a bloodthirsty cult invades a bowling alley on its final night of operation, a high schooler on a date from hell, must join forces with her survivalist dad to fend off the crazed murderers."
Samsara,"Rejected by the parents of the woman he loves, a man makes a deal with the Monkey King and performs a ritual to gain wealth, unleashing a dark curse."
Ape X Mecha Ape: New World Order,"A group of world leaders awakens a creature beneath the ocean floor, and mankind's only hope rests on an alliance between the giant ape and his mechanical arch-nemesis."
Cash for Gold,"Struggling to save her home from foreclosure and stay sober after her military husband's death, Grace goes to work for her small town's only Muslim family and is forced to come face-to-face with the demons that threaten to pull her under."
Aftermath,"After waking up in the middle of a forest with no memories, a young woman is targeted by mysterious strangers with a motive as unclear as her way back home."
Brief History of a Family,"A middle-class family's fate becomes intertwined with their only son's enigmatic new friend in post one-child policy China, putting unspoken secrets, unmet expectations, and untended emotions under the microscope."
The Good Fight,"After a series of bad decisions threaten to destroy his family and career, Luke must look inside himself and decide what's really worth fighting for."
Demon Hunter: Time 2 Kill,"On the hunt to find the pieces of a medallion that can end the demonic control over Earth, Taryn is forced to go through time to save the future."
Kali,Sivaram who is a loser of the choices he made in his life and decides to end his life. A mysterious man comes to the house and corner him to play the game of Othello which reveals the facts of life.
Color of Victory,"The days when Istanbul was occupied as a result of the Armistice of Mudros after the First World War and the Fenerbahce football team won the ""Harington Cup"""
Revival,Two robbers on the run end up victims of a twisted doctor who subjects them to his sadistic experiments.
Blue Period,A successful but bored high school student is inspired to take up a career in art and discovers his passion in painting.
Sunny,Sunny is the story of a middle-aged woman who dreams to fulfill her dying wish to reunite with high school friends.
The Epic of Gilgamesh,"Gilgamesh, king of Uruk, abuses power prompting gods to create Enkidu to subdue him. They befriend, kill Humbaba, fight Bull of Heaven. Enkidu dies, Gilgamesh seeks Utnapishim for immortality."
The Glory of Life,The last year in Franz Kafka's life and its surprising love story.
Down Below,"On the 20th anniversary of the gruesome Christmas Eve murders at St. Agnes church, a demonic preacher returns to haunt that same town's residents."
Memories of a Burning Body,"Ana, Patricia and Mayela grow up when sexuality is taboo. Now channeled as one 65-year-old, the protagonist revisits intertwined memories, secrets and desires, giving voice to unspoken past experiences."
Kacher Manush Dure Thuiya,"Follows couple in long-distance relationship across thousands of miles. Distance strains the relationship, causing pain, doubt, mistrust, anger, resentment. Ultimately leads to separation before emotional reunion."
Regarding Us,"Fired from her teaching job at a Catholic school, a transgender woman contemplates suicide until she meets a young girl with two fathers, and they have a profound impact on each other's lives."
Las Mutaciones,"After an urgent surgery leaves him unable to speak, a lawyer's life changes as his relationship with his wife and teenage kids is strained. A talkative parrot gifted by the maid becomes his imaginary interlocutor."
ED: Extra Decent,"In a Malayali household shrouded in secrets, an amnesiac son uncovers his dark history, unveiling a twisted tale of revenge and redemption within his morally ambiguous family."
Gangster,"Emotionless hitman Michael meets Jessy, awakening unfamiliar feelings. A mission gone awry forces him to reevaluate his entire existence, challenging his beliefs and way of life."
All Hallows' Eve: Inferno,"From an executive producer of Terrifier 2 comes All Hallows' Eve: Inferno, a new installment of the franchise that first introduced the world to Damien Leone's Art the Clown and the short film Terrifier."
Anchakkallakokkan,In a small country town a cowardly police constable must survive his first days of duty when a convicted felon in lock up tries to seek revenge.
Devil's Knight,"In the realm of Veroka, an elite group of global monster hunters is summoned by King Samuel to vanquish the ancient Bone Devil, whose reign of terror threatens the Kingdom of Remény."
Uranus Attacks,"The small town of Uranus has been invaded. Two best friend and fudge packing employees at the Uranus Fudge Factory now must save Uranus and stop an evil hive-mind Alien slug named Zamik before he ""ass-similates"" all of Uranus."
My Freaky Family,"A preteen with musical talents and magical abilities struggles to fit in with her unconventional family. As she approaches her 13th birthday, she unravels family secrets, embracing her unique identity."
Rafael Nadal: The King of Clay,"This documentary follows Rafael Nadal's rise from a young tennis prodigy to a global legend. Highlighting his relentless spirit, triumphs, and challenges, it reveals the dedication and passion behind the legacy that has made him one of the sport's greatest icons."
Chris Brown: A History of Violence,"Explore the biographical film that delves into the controversial personal life of Chris Brown, an iconic singer while exploring allegations of domestic violence, assault charges and sexual misconduct."
Bairi,"A newly-widowed mother struggles to connect with her son as he copes with his father's death by immersing himself in the intense hobby of racing pigeons, threatening their relationship."
Wishbone,"When the twenty eight -year-old Kostas who has recently become a security guard in a public hospital, is forced to take over the guardianship of his little niece, he gets involved in a medical scam to make ends meet."
Hotspring Sharkattack,There have been cases of mysterious disappearances of onsen visitors in Atsumi city in S prefecture.The victims were eventually found dead with signs of severe injuries to their bodies resembling a vicious shark attack.
The Forbidden Camp: Mass Possession,"A group of students enjoying camping activities. Instead of being a fun moment, the atmosphere becomes tense when one by one they are possessed by evil forces."
Kudi Haryane Val Di,"A Punjabi man uninterested in wrestling falls for a Haryanvi woman passionate about the sport. He strives to embrace her love for wrestling, to win her heart."
